学名,和名,Pdfリンク,開長(mm),分布,食草,メモ
Diaethria_ clymena,クリメナウラモジタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 3.pdf,48,CentralAmerica～Peru,,これらの属は、メキシコからアルゼンチンまで分布する普通種。低地には少ないが５００ｍから１０００ｍの山地に多い８８や８９の字模様が はっきりしているのでウウラモジタテハといわれる。ミスジチョウ属Neptisの飛び方に似た飛び方。群れて飛ぶと車のフロントガラスに付着す る。吸水性も強い。
Callicore_eunomia,アカネウズマキタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 3.pdf,46,Colombia～Bolivia,,ウズマキタテハCallicore属とAsteropeアカネタテハ属とは近縁である。これらはウラモジタテハ属に比べると吸水特性も低く数も少なく珍品が多い。色彩はアグリアス属とそっ くり。また、分布域もアマゾン上流で、アグリアスのそれと重なっている。（詳細は「珍チョウ熱帯雨林」「世界の昆虫３」参照）
Asterope_leprieuri,マルバネアカネタテハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 3.pdf,70,WestOfAmazon,,ウズマキタテハCallicore属とAsteropeアカネタテハ属とは近縁である。これらはウラモジタテハ属に比べると吸水特性も低く数も少なく珍品が多い。色彩はアグリアス属とそっ くり。また、分布域もアマゾン上流で、アグリアスのそれと重なっている。（詳細は「珍チョウ熱帯雨林」「世界の昆虫３」参照）
Diaethria_meridonalis,ミナミウラモジタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 3.pdf,50,SouthernBrazil,,これらの属は、メキシコからアルゼンチンまで分布する普通種。低地には少ないが５００ｍから１０００ｍの山地に多い８８や８９の字模様が はっきりしているのでウウラモジタテハといわれる。ミスジチョウ属Neptisの飛び方に似た飛び方。群れて飛ぶと車のフロントガラスに付着す る。吸水性も強い。
Asterope_leprieuri,マルバネアカネタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 3.pdf,70,WestOfAmazon,,ウズマキタテハCallicore属とAsteropeアカネタテハ属とは近縁である。これらはウラモジタテハ属に比べると吸水特性も低く数も少なく珍品が多い。色彩はアグリアス属とそっ くり。また、分布域もアマゾン上流で、アグリアスのそれと重なっている。（詳細は「珍チョウ熱帯雨林」「世界の昆虫３」参照）
Marpesia_coresia,ナミスジツルギタテハ♂裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 4.pdf,65,Tex～SouthernBrazil,,北米に分布する種ツルギタテハが代表。この属の成虫は、腐りかけて発酵したものを好む。熱帯の水溜りによく来る。早朝に開けた場所に出るが、昼間は木陰で静止する。
Marpesia_corinna,コリナツルギタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 4.pdf,62,Tex～SouthernBrazil,,北米に分布する種ツルギタテハが代表。この属の成虫は、腐りかけて発酵したものを好む。熱帯の水溜りによく来る。早朝に開けた場所に出るが、昼間は木陰で静止する。
Anaea_clytemnestra,マエモンベニキノハタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 4.pdf,90,Peru,,120種。南米の非常に特殊化の進んだ属。翅裏面は木の葉に似る。すべて高速飛翔。頭を下にして樹の幹に止まる。熟した果実や樹液に集まる。
Anaea_nessus,シロオビキノハタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 4.pdf,100,Peru,,北米に分布する種ツルギタテハが代表。この属の成虫は、腐りかけて発酵したものを好む。熱帯の水溜りによく来る。早朝に開けた場所に出るが、昼間は木陰で静止する。
Anaea_marthesia,ベニキノハタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 4.pdf,70,中南南部～南米北部,,120種。南米の非常に特殊化の進んだ属。翅裏面は木の葉に似る。すべて高速飛翔。頭を下にして樹の幹に止まる。熟した果実や樹液に集まる。
Batesia_phypochloria,ベーツタテハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 5.pdf,95,西アマゾン,,アマゾン上流エクアドルに分布。ベーツタテハ１種。擬態の発見者ベーツの名を冠したドクチョウのような派手なタテハチョウ。見る方向によって微妙に色が変わる。
Batesia_phypochloria,ベーツタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 5.pdf,95,西アマゾン,,アマゾン上流エクアドルに分布。ベーツタテハ１種。擬態の発見者ベーツの名を冠したドクチョウのような派手なタテハチョウ。見る方向によって微妙に色が変わる。
Catonephele_esite,ドクソコパ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 5.pdf,70,アマゾン流域,,約12種を含む種で、ジャングルの茂みの中に棲み、湿地よりも高台を好む。糖液に集まる。
Historis_odius,オリオンタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 5.pdf,116,北米南部～新熱帯区,,大型の有名な２種を含む属。裏は枯れ葉に似る。腐敗した果実や獣糞 に集まる。分布は広く、北米南部から新熱帯区全域。
Hamadryas_bellodonna,カスリタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 6.pdf,70,Brazil,,カスリタテハが代表種。アマゾン流域を中心として分布する。飛ぶときカチカチと音を立てるのでクラッカーとも呼ばれる。食草はウマノスズクサ属。東アジアのスミナガシに近 縁。
Hamadryas_velutina,シロオビルリカスリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 6.pdf,70,Western Amazon,,カスリタテハが代表種。アマゾン流域を中心として分布する。飛ぶときカチカチと音を立てるのでクラッカーとも呼ばれる。食草はウマノスズクサ属。東アジアのスミナガシに近 縁。
Baeotus_baeotus,バエオツスタテハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 6.pdf,94,Columbia,,４種余りがこの属に含まれる。アフリカ、インドオーストラリア区のフタオチョウの近縁。生息域はアマゾン流域に限定されている。翅の形や行動はアフリカや東南アジアのCharaxesに極似して いる。
Baeotus_baeotus,バエオツスタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 6.pdf,94,Columbia,,４種余りがこの属に含まれる。アフリカ、インドオーストラリア区のフタオチョウの近縁。生息域はアマゾン流域に限定されている。翅の形や行動はアフリカや東南アジアのCharaxesに極似して いる。
Panacea_prola,ウラベニタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 7.pdf,88,Amazonas,,５～６種がパナマ～アマゾン流域に生息する。熟した果実や樹液に集まるが、驚かされると高い樹上に舞い上がり、待っていると同じ場所に下りてくる。
Panacea_prola,ウラベニタテハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ny 7.pdf,88,Amazonas,,５～６種がパナマ～アマゾン流域に生息する。熟した果実や樹液に集まるが、驚かされると高い樹上に舞い上がり、待っていると同じ場所に下りてくる。
Eurytides_thastes,タステスオナガタイマイ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 1.pdf,100,Peru,,この属はいずれも長い尾状突起を持つ。♂は吸水性が強い。
Eurytides_molops,モロップスオナガタイマイ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 1.pdf,84,Col,,この属はいずれも長い尾状突起を持つ。♂は吸水性が強い。
Papilio_androgeos,フトオビアゲハ♀,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 2.pdf,105,Neotropical,,熱帯アメリカには♂はよく似た幅広の黄帯タイプだが♀の斑紋が異なるものが何種かある。
Papilio_androgeos,フトオビアゲハ♂,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 2.pdf,105,Neotropical,,熱帯アメリカには♂はよく似た幅広の黄帯タイプだが♀の斑紋が異なるものが何種かある。
Papilio_garamas,メキシコアゲハ♀,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 2.pdf,120,Mexico,,この始めて見る大きなアゲハチョウがメキシコ市内の宿泊のホテルの近くの公園に次々と飛んでくるのには、驚喜を覚えた。
Papilio_garamas,メキシコアゲハ♂,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 2.pdf,120,Mexico,,この始めて見る大きなアゲハチョウがメキシコ市内の宿泊のホテルの近くの公園に次々と飛んでくるのには、驚喜を覚えた。
Papilio_androgeos,ホメルスアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 3.pdf,170,Jamaica,,ジャマイカに生息する南米最大のアゲハチョウ。ジャマイカでは食草は多いが東山脈の熱帯雨林だけで観られる希少種。
Papilio_zagreus,キマダラマルバネアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 4.pdf,110,Peru,,パシムンティアマダラに擬態したアゲハチョウ。南米ではミューら形擬態が しばしば見られる。
Papilio_hectorides,キオビアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 4.pdf,100,Brazil,,このチョウはParides属に擬態か
Parides_arcas,アルカスジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 5.pdf,84,Mexico～Guyanas,,南米の属でウマノスズクサ科を食するため鳥に嫌われる。同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_childrenae,チルドレナエンジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 5.pdf,95,Guiana～Bolivia,,南米の属でウマノスズクサ科を食するため鳥に嫌われる。同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_dardanus,ダルダヌスジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 5.pdf,100,Brazil,,南米の属でウマノスズクサ科を食するため鳥に嫌われる。同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_ascanius,マエオビジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 5.pdf,100,Brazil,,南米の属でウマノスズクサ科を食するため鳥に嫌われる。同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_agavus,アガブスジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 6.pdf,76,Brazil,,Paridesは南米の属でウマノスズクサ科を食する蝶だが、同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_erlaces,エルァセスジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 6.pdf,86,Peru,,Paridesは南米の属でウマノスズクサ科を食する蝶だが、同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_gundlachianus,キューバジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 6.pdf,100,Cuba,,Paridesは南米の属でウマノスズクサ科を食する蝶だが、同じ科を食草とする東南アジア近縁の属より小型。南米では擬態のモデル。50種。日陰を好む。
Parides_triopas,トリオパスジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 7.pdf,80,アマゾン・ギアナ,,東南アジアのキシタアゲハに似るが小型。
Parides_hahneli,トンボジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 7.pdf,110,Brazil,,ドイツ人の哲学者Hahnell博士が南米を旅行中にアマゾン流域で発見し、この名 がある。
Baronica_brevicornis,ウラギンアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 8.pdf,64,メキシコ,アカシアの１種Acacia cumbispima,一属一種で、すべての真性蝶類が属する最初に出現したものがアゲハとすると、本種は真性蝶類が枝分かれする前の最初の形態を留めたアゲハで生ける化石
Baronica_brevicornis,ウラギンアゲハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 8.pdf,64,メキシコ,アカシアの１種Acacia cumbispima,一属一種で、すべての真性蝶類が属する最初に出現したものがアゲハとすると、本種は真性蝶類が枝分かれする前の最初の形態を留めたアゲハで生ける化石
Euryades_duponchelli,キオビジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 8.pdf,86,アルゼンチン北部・中部,ウマノスズクサ属,ウラギンアゲハの生息地より遥かに離れたアルゼンチンに住む、ウラギンアゲハに次ぐ原始的な属の蝶２種で、ウマノスズクサを食する。ウラギンアゲハよりアゲハへの分岐が進んでいる
Euryades_corethurus,オナシキオビジャコウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-papilio 8.pdf,92,アルゼンチン北部,ウマノスズクサ属,ウラギンアゲハの生息地より遥かに離れたアルゼンチンに住む、ウラギンアゲハに次ぐ原始的な属の蝶２種で、ウマノスズクサを食する。ウラギンアゲハよりアゲハへの分岐が進んでいる
Anteos_maerula,マエルラヤマキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 1.pdf,108,Mexico,,新熱帯区の大型のシロチョウで旧北区のヤマキチョウ属Gonepteryxのように端の先端が尖るが系統的には別。
Anteos_menippe,ツマベニヤマキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 1.pdf,110,Neotropica,,新熱帯区の大型のシロチョウで旧北区のヤマキチョウ属Gonepteryxのように端の先端が尖るが系統的には別。
Phoebis_cipris,キプリスオオキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 2.pdf,68,Brazil,,Phoebis属は10種。純粋に新大陸産の大型のシロチョウ。♂は明るい開けた土地を好み、湿地で吸水。♀は不活発。雌雄に色彩差あり。食草はマ メ科。
Phoebis_avellaneda,ベニオオキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 2.pdf,85,Cuba,,Phoebis属は10種。純粋に新大陸産の大型のシロチョウ。♂は明るい開けた土地を好み、湿地で吸水。♀は不活発。雌雄に色彩差あり。食草はマ メ科。
Eurema_proterpia,プロテリアキチョウ♂ｄ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 2.pdf,44,TropicalAmerica,,乾期と雨季で別種と思えるほど模様も形も変わるキチョウ。
Eurema_proterpia,プロテリアキチョウ♂ｗ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 2.pdf,44,TropicalAmerica,,乾期と雨季で別種と思えるほど模様も形も変わるキチョウ。
Dismorphia_nemesis,マエグロコバネシロチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 3.pdf,56,Peru,,Dismorphia属は北米南部から南米にかけて分布する。４０種。Heliconius属に擬態するものが多く、飛翔法も似ている。生息場所も似ていて他のシ ロチョウ属と違って日陰に住むがときどき日向に出て日光浴をする。
Dismorphia_deione,デイオネコバネシロチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 3.pdf,50,Brazil,,Dismorphia属は北米南部から南米にかけて分布する。４０種。Heliconius属に擬態するものが多く、飛翔法も似ている。生息場所も似ていて他のシ ロチョウ属と違って日陰に住むがときどき日向に出て日光浴をする。
Dismorphia_amphione,アンフィオーネコバネシロチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 3.pdf,76,Brazil,,Dismorphia属は北米南部から南米にかけて分布する。４０種。Heliconius属に擬態するものが多く、飛翔法も似ている。生息場所も似ていて他のシ ロチョウ属と違って日陰に住むがときどき日向に出て日光浴をする。
Eurema_elathea,エラテアキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 4.pdf,34,アンデス東部の新熱帯,,本属の生息は熱帯圏を取り巻いて北区まで。後翅は丸いものが 大半。前翅の先端から下方にかけての黒縁が季節で異なる。幼 虫はマメ科。
Leodonta_chiriquensis,ゼノビナ＿レオドンタ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 4.pdf,64,コスタリカ～パナマ,,Leodontaは10種程度からなる属で、裏面の色彩と道路沿い に飛ぶことで自然での同定は容易。
Pereute_telthusa,レウコドロシメ＿ドクチョウダマシ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-pier 4.pdf,64,アンデス東部の新熱帯,,Pereute属は約８種を含み、いずれもHeliconiusに似て最も美しい色彩を持 つ。東南アジアのDeliasに相当
Ancyluris_etlas,フトオシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 1.pdf,44,Colombia～Borivia,,ミイロシジミタテハが代表。この属は翅形が独特なこと♂の翅表が極めて美しいことが特徴。メキシコ以南の中南米に分布。高所を飛ぶが早朝は 降りてくる。
Ancyluris_formassima,ミイロシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 1.pdf,50,Peru～Ecuador,,ミイロシジミタテハが代表。この属は翅形が独特なこと♂の翅表が極めて美しいことが特徴。メキシコ以南の中南米に分布。高所を飛ぶが早朝は 降りてくる。
Ancyluris_pulchra,アカオビシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 1.pdf,48,Colombia～Ecuador～Peru,,ミイロシジミタテハが代表。この属は翅形が独特なこと♂の翅表が極めて美しいことが特徴。メキシコ以南の中南米に分布。高所を飛ぶが早朝は 降りてくる。
Ancyluris_formassima,ミイロシジミタテハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 1.pdf,50,Peru～Ecuador,,ミイロシジミタテハが代表。この属は翅形が独特なこと♂の翅表が極めて美しいことが特徴。メキシコ以南の中南米に分布。高所を飛ぶが早朝は 降りてくる。
Ancyluris_etlas,フトオシジミタテハ（裏）,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 1.pdf,44,Colombia～Borivia,,ミイロシジミタテハが代表。この属は翅形が独特なこと♂の翅表が極めて美しいことが特徴。メキシコ以南の中南米に分布。高所を飛ぶが早朝は 降りてくる。
Rhetus_dysonii,ツバメシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,44,TropicalAmerica,,ツバメシジミタテハが代表。昼間森の開けた所を活発に飛びトラップに集まる。４ 種ある。
Helicopis_acis,ミツオシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,50,エクアドル～ボリビア,,この属は全部で４種、いずれも数 本の尾状突起あり。下草を飛んで すぐに止まる習性がある。
Lyropterys_apollonia,イナズマシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,50,TropicalAmerica,,イナズマシジミタテハが代表。翅の裏 面にイナズマのような条線を揃える美 麗種。稀な♀には後翅の外縁に赤帯 のあるものあり。
Semomesia_capanaea,アオメシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,44,Guiana,,眼状紋が可愛らしいシジミた てはでブラジルのアマゾンに 生息。
Rhetus_periander,ペリアンデルシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,44,TropicalAmerica,,ツバメシジミタテハが代表。昼間森の開けた所を活発に飛びトラップに集まる。４ 種ある。
Necyria_juturna,ジュツルナシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,46,Colombia～Ecuador～Peru,,♂の裏面が帯状に青く光る。赤色の斑点があるもの、前後 翅に赤い帯があるものなどがある美麗種。
Charinea_sylphina,オオスカシバシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-ri 2.pdf,54,ペルー,,本属は全部で７種強余り。 いずれも高いこずえに生 息。
Cithaerias_aurorina,ベニスカシジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 1.pdf,60,Colombia～Peru～Bolivia,,翅が透明なスカシジャノメの属。類似の３属あり。新熱帯区 の固有属。ｱﾏｿﾞﾝのｼﾞｬﾝｸﾞﾙの薄暗いところを群れずに緩慢 に飛ぶ。翅の色が目立ち、花びらが風に舞うよう。
Pierella_nereis,シロオビハカマジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 1.pdf,80,SouthernBrazil,,類似の１属を纏めてﾊｶﾏｼﾞｬﾉﾒ類という。鱗粉は薄く飛び 方も含めてｽｶｼｼﾞｬﾉﾒ属に似る。
Pierella_hortona,ヨツモンハカマジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 2.pdf,68,Peru～Amazon,,類似の１属を纏めてﾊｶﾏｼﾞｬﾉﾒ類という。鱗粉は薄く飛び方も含めてｽｶｼｼﾞｬﾉﾒ属に似る。
Pierella_lena,ハカマジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 2.pdf,68,Peru～Amazon,,類似の１属を纏めてﾊｶﾏｼﾞｬﾉﾒ類という。鱗粉は薄く飛び方も含めてｽｶｼｼﾞｬﾉﾒ属に似る。
Penrosada_hymettia,コベニモンハカマジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 2.pdf,70,Colombia,,ハカマジャノメ類だが、スカシジャノメと違って透明でないが、鱗粉がきわめて少ない。後翅の縁部に顕著な波紋がある。
Penrosada_helvina,ベニモンハカマジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 2.pdf,72,Colombia～Peru,,ハカマジャノメ類だが、スカシジャノメと違って透明でないが、鱗粉がきわめて少ない。後翅の縁部に顕著な波紋がある。
Drucina_championi,ドゥルキナーチャンピオニ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 3.pdf,96,Colombia～Peru,,Drucina属は４～５種の大きな種を含む。中米からボリ ビアまで分布。
Manataria_maculata,マナタリア－マキュラタ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 3.pdf,96,中米～ブラジル南部,,中米～アルゼンチン北部にかけて分布する属で大きな２ ないし３種が生息。
Euptychia_cephus,エウプティチア－ケフス,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 4.pdf,42,コロンビア～アマゾン～ギィアナ,,約200種と南米最大の属。メキシコ～アルゼンチンまで 3000mまで分布し、各地で普通種の小さい蝶。
Corades_iduna,コラデス－イドゥナ,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 4.pdf,75,ペルー～ボリビア,,南米中部の高地に住む奇妙な形の種を１５種ほど含む属。 ヴェネズエラ～北アルゼンチンに生息。
Targetis_virgilia,タイゲティス－ビルジリア,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 4.pdf,76,メキシコ～ブラジル南部,,この属は約３０種余りの種を含む。東南アジアのコノマ チョウの新大陸版。
Polymastus_dorinde,ポリマストゥス－ドラエテ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_tro/n_tro-sa 4.pdf,74,コロンビア～ペルー,,南米に５～６種生息するがいずれも珍品。とくに♀がまだ未 発見のものが多い。
Danaus_chrysips,カバマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-da 1.pdf,72,日本～インドオーストラリア区,トウワタなどのガガイモ科,本属にはｲﾝﾄﾞ·ｵｰｽﾄﾗﾘｱ地区で多数の種あり。新北区のMonarchは長距離移 動し、ﾓﾝﾄﾚｰやﾒｷｼｺで集団越冬する。いずれの種も長距離を移動。食草は ｶﾞｶﾞｲﾓで鳥に有毒。
Parantica_sita,アサギマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-da 1.pdf,104,日本～アフガニスタン,キジョラン、イケマなどのガガイモ科,本属はアサギマダラsitaが代表種。ｲﾝﾄﾞ・ｵｰｽﾄﾗﾘｱ、北は中国・韓 国・日本に生息する。移動性の大きい属。
Parnara_guttata,イチモンジセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-hes 1.pdf,35,インド北部～中国大陸～東南アジア～日本,イネ、ススキなどのイネ科,よく似た属が３種あるが日本のイチモンジセセリの 属するこのParnaraは触覚が短いことで区別でき る。東洋の稲作と関係が深いと言われる。
Chaospes_benjaminii,アオバセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-hes 1.pdf,50,日本～東アジア,アワブキなどのアワブキ科,本属は代表種は日本にも生息する上記の美麗種benjaminiiでよく似たものが６種ありインドーオーストラ リア区にも分布。林間の開いた空地を縄張りとして飛び、ヤマブキなどの多くの花に吸蜜にくる。
Chaospes_benjaminii,アオバセセリ裏,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-hes 1.pdf,50,日本～東アジア,アワブキなどのアワブキ科,本属は代表種は日本にも生息する上記の美麗種benjaminiiでよく似たものが６種ありインドーオーストラ リア区にも分布。林間の開いた空地を縄張りとして飛び、ヤマブキなどの多くの花に吸蜜にくる。
Erynnis_montanus,ミヤマセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-hes 1.pdf,36,日本～東アジア,クヌギ、アベマキ、コナラなどのブナ科,本属は、ﾐﾔﾏｾｾﾘが代表種。東アジアに生息し、 春～晩春に出るﾐﾔﾏｾｾﾘmontanusと欧州から中 国に分布するtagesの２種。
Pyrgus_malvae,ヨーロッパチャマダラセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-hes 1.pdf,20,欧州～西アジア,キジムシロ属の草,互いによく似た６種からなり、インド～中国～ ニューギニアに生息し、日本にも広がる。暗緑色 で体下面や後翅下端に黄橙色のある美麗種。
Daimio_tethys,ダイミョウセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-hes 1.pdf,36,日本～中国大陸～ビルマ北部,草 ヤマノイモ、ナガイモなどのヤマノイモ科,一属一種。成虫は樹林の下草を飛び飛翔は敏捷 であるが、すぐに翅を開いて葉の上に止まる。
Chrisozephyrus_nishikazeUN,ニシカゼミドリＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-ly 1.pdf,40,台湾,バラ科のカンヒザクラ,本属は金緑色のミドリシジミ類からなる。日本・台湾～ヒマラヤ山麓にかけての照葉広葉樹に住みそれを食草とする。
Euaspa_forsteri,フォルスタールリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-ly 1.pdf,42,台湾,ブナ科のモリガシ,本属は、旧北区では台湾山地のフォルスタールリシジミと北米の南ロッキーの高地に生息す る新北区唯一のミドリシジミ族の２種。
Euaspa_forsteri UN,フォルスタールリ裏,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-ly 1.pdf,42,台湾,ブナ科のモリガシ,本属は、旧北区では台湾山地のフォルスタールリシジミと北米の南ロッキーの高地に生息す る新北区唯一のミドリシジミ族の２種。
Chrisozephyrus_nishikaze,ニシカゼミドリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-ly 1.pdf,40,台湾,バラ科のカンヒザクラ,本属は金緑色のミドリシジミ類からなる。日本・台湾～ヒマラヤ山麓にかけての照葉広葉樹に住みそれを食草とする。
Chrisozephyrus_,キリシマミドリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-ly 1.pdf,40,日本～中国西部,ブナ科のアカガシ,本属は金緑色のミドリシジミ類からな る。日本・台湾～ヒマラヤにかけての 照葉広葉樹に住みそれを食草とす る。
Chrisozephyrus_kaburua,カノミドリ,http://biokite.com/worldbutterfly/butterfly_pdf/p_arc/p_arc-ly 1.pdf,40,台湾/ヒマラヤ,ブナ科のタイワンウラジロガシ,本属は金緑色のミドリシジミ類からな る。日本・台湾～ヒマラヤにかけての 照葉広葉樹に住みそれを食草とす る。
